"Unit type ","Unit ","Floor ","Street number ","Street alpha ","Street name ","Street type ","Street direction ","Suburb ","Town/City ","Unit type 2","Unit 2","Floor 2","Street number 2","Street alpha 2","Street name 2","Street type 2","Street direction 2","Suburb 2","Town/City 2","Unit type 3","Unit 3","Floor 3","Street number 3","Street alpha 3","Street name 3","Street type 3","Street direction 3","Suburb 3","Town/City 3","Unit type 4","Unit 4","Floor 4","Street number 4","Street alpha 4","Street name 4","Street type 4","Street direction 4","Suburb 4","Town/City 4","Unit type 5","Unit 5","Floor 5","Street number 5","Street alpha 5","Street name 5","Street type 5","Street direction 5","Suburb 5","Town/City 5","Unit type 6","Unit 6","Floor 6","Street number 6","Street alpha 6","Street name 6","Street type 6","Street direction 6","Suburb 6","Town/City 6","Unit type 7","Unit 7","Floor 7","Street number 7","Street alpha 7","Street name 7","Street type 7","Street direction 7","Suburb 7","Town/City 7","Unit type 8","Unit 8","Floor 8","Street number 8","Street alpha 8","Street name 8","Street type 8","Street direction 8","Suburb 8","Town/City 8","Unit type 9","Unit 9","Floor 9","Street number 9","Street alpha 9","Street name 9","Street type 9","Street direction 9","Suburb 9","Town/City 9","Common name 1","Common name 2","Common name 3","Common name 4","Common name 5","Common name 6","Common name 7","Common name 8","Common name 9","Common name 10","Notice type","Date of issue","Earthquake rating","Seismic work deadline","Priority building","Notice issued by","Heritage status","Area of seismic risk"
"","","","66","","Melville","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/02/2026","Not determined","26/01/2061","No","Dunedin City Council","Historic place category 1","Low"
"","","","59","","Fryatt","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/01/2026","Not determined","31/12/2060","No","Dunedin City Council","","Low"
"","","","67","","Fryatt","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/01/2026","Not determined","01/12/2060","No","Dunedin City Council","","Low"
"","","","153","","Jellicoe","Street","","","Te Puke","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","18/12/2025","Not determined","18/12/2050","No","Western Bay of Plenty District Council","","Medium"
"","","","18","","Hollands","Crescent","","Naenae","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/04/2026","0% to less than 20%","23/04/2045","No","Hutt City Council","","High"
"","","","48","","The Parade","","","Bucklands Beach","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","08/04/2026","20% to less than 34%","08/04/2061","No","Auckland Council","","Low"
"","","","158","","Glasgow","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ST JOHN'S CLUB","","","","","","","","","","EPB notice","07/04/2026","20% to less than 34%","07/04/2051","No","Whanganui District Council","","Medium"
"","","","219","","King Edward","Street","","South Dunedin","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","12/02/2026","Not determined","29/01/2061","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","173","","King Edward","Street","","South Dunedin","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","12/02/2026","Not determined","30/01/2061","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","575","","Highgate","","","Maori Hill","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","12/02/2026","Not determined","31/01/2061","No","Dunedin City Council","","Low"
"","","","51","","Nelson","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WHANGANUI BOWLING CLUB","","","","","","","","","","EPB notice","02/04/2026","20% to less than 34%","02/04/2051","No","Whanganui District Council","","Medium"
"","","","51","","Nelson","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","02/04/2026","0% to less than 20%","02/04/2051","No","Whanganui District Council","","Medium"
"","","","3","","George Holmes","Road","","","Rolleston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CONCAST","","","","","","","","","","EPB notice","13/03/2026","0% to less than 20%","13/03/2041","No","Selwyn District Council","","High"
"","","","721","A","Portobello","Road","","Broad Bay","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","03/03/2026","Not determined","24/02/2061","No","Dunedin City Council","","Low"
"","","","93","","Guyton","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","24/03/2026","0% to less than 20%","24/03/2051","No","Whanganui District Council","","Medium"
"","","","93","","Guyton","Street","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","24/03/2026","0% to less than 20%","24/03/2051","Yes","Whanganui District Council","","Medium"
"","","","42","","Lucknow","Road","","","Havelock North","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Iona College - Administration Block – parts (Stages D, E & F) ","Iona school - Admin block","","","","","","","","","EPB notice","23/03/2026","Not determined","01/05/2031","Yes","Hastings District Council","","High"
"","","","17","","Nicolaus","Street","","Trentham","Upper Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","13/03/2026","20% to less than 34%","13/03/2041","No","Upper Hutt City Council","","High"
"","","","1","","Molesworth","Street","","Pipitea","Wellington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Parliamentary Library Southern Wing","Building A3","","","","","","","","","EPB notice","13/03/2026","0% to less than 20%","13/03/2041","No","Wellington City Council","Historic place category 1","High"
"","","","229","","Crawford","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/02/2026","Not determined","26/01/2061","No","Dunedin City Council","","Low"
"","","","414","","Princes","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/01/2026","Not determined","05/12/2060","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","90","","South","Road","","The Glen","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Office","","","","","","","","","","EPB notice","27/01/2026","Not determined","20/12/2060","No","Dunedin City Council","","Low"
"","","","90","","South","Road","","The Glen","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cement Store","","","","","","","","","","EPB notice","27/01/2026","Not determined","20/12/2060","No","Dunedin City Council","","Low"
